s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
50758	6	6	10	0	1	0.144	0.144	18	8	192	192	6144	185	7	10	52	73	60	211	4735	9	2	7	10	2	7	0.004
50808	4	0	20	4	1	0.144	0.144	21	12	310	310	9920	298	12	34	90	15	193	20	1544	4	0	12	34	1	5	0.008
51254	2	0	36	2	1	0.261	0.261	29	14	621	621	19872	582	39	52	102	136	344	444	1092	10	0	39	52	2	3	0.012
51258	2	0	41	2	1	0.303	0.303	37	16	692	692	22144	648	44	64	134	134	380	1012	2011	16	0	44	64	4	16	0.018
51263	6	0	29	6	1	0.414	0.414	37	12	762	762	24384	704	58	71	151	191	362	980	7846	36	0	58	71	5	24	0.020
51553	6	6	12	4	1	0.353	0.353	78	14	694	694	22208	612	82	92	134	337	141	673	3166	77	0	82	92	6	11	0.023
51574	6	6	3	0	1	0.037	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
51658	6	6	4	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
51974	4	0	145	4	1	0.155	0.156	21	12	302	302	9664	297	5	129	75	10	212	20	960	4	0	5	129	0	0	0.026
51977	4	0	146	4	1	0.155	0.154	21	12	294	294	9408	288	6	130	73	9	206	20	1004	4	0	6	130	0	0	0.026
52062	6	6	10	0	1	0.066	0.066	7	3	53	53	1696	52	1	1	17	9	26	14	3040	3	2	1	1	0	0	0.000
52689	6	6	2	0	1	0.039	0.039	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
52882	6	6	13	6	1	0.738	0.739	73	22	701	701	22432	607	94	105	148	304	155	708	30963	72	0	94	105	3	3	0.024
52936	6	6	7	0	1	0.040	0.040	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
